date,time,seq_length,trial_id,model,val_f1,val_auc,val_recall,val_precision,n_estimators,max_depth,min_samples_split,min_samples_leaf,val_threshold,best_test_threshold,best_val_so_far,best_trial_id,test_f1,test_auc,test_recall,test_precision,gap_val_test,is_enqueued,status
2026-07-09,11:34:51,6,0,RandomForest,0.6537,0.7957,0.7516,0.5784,100,10,2,1,0.27,0.3,0.6537,0,0.6254,0.7782,0.6947,0.5687,0.0283,True,OK
2026-07-09,11:34:53,6,1,RandomForest,0.6386,0.7781,0.7006,0.5867,500,20,2,1,0.32,0.32,0.6537,0,0.6043,0.7558,0.6412,0.5714,0.0343,True,OK
2026-07-09,11:34:53,6,2,RandomForest,0.6598,0.7948,0.7102,0.616,200,5,10,5,0.31,0.3,0.6598,2,0.598,0.7751,0.6132,0.5835,0.0617,True,OK
2026-07-09,11:34:54,6,3,RandomForest,0.6528,0.7963,0.6975,0.6134,300,12,5,2,0.32,0.31,0.6598,2,0.6299,0.7763,0.6539,0.6076,0.0229,True,OK
2026-07-09,11:34:55,6,4,RandomForest,0.6537,0.7931,0.7516,0.5784,218,20,15,6,0.29,0.31,0.6598,2,0.621,0.7708,0.6921,0.5631,0.0327,False,OK
2026-07-09,11:34:56,6,5,RandomForest,0.6598,0.793,0.7102,0.616,120,4,3,9,0.35,0.22,0.6598,2,0.598,0.7719,0.6132,0.5835,0.0617,False,OK
2026-07-09,11:34:57,6,6,RandomForest,0.6611,0.7953,0.7516,0.59,321,15,2,10,0.3,0.28,0.6611,6,0.6209,0.7716,0.6794,0.5717,0.0401,False,OK
2026-07-09,11:34:58,6,7,RandomForest,0.6583,0.7998,0.7484,0.5875,425,6,5,2,0.28,0.28,0.6611,6,0.6256,0.7822,0.6845,0.576,0.0327,False,OK
2026-07-09,11:34:59,6,8,RandomForest,0.6538,0.7984,0.7548,0.5766,187,11,10,3,0.27,0.27,0.6611,6,0.6316,0.7764,0.7023,0.5738,0.0222,False,OK
2026-07-09,11:35:00,6,9,RandomForest,0.6498,0.793,0.6529,0.6467,325,4,7,4,0.35,0.33,0.6611,6,0.5942,0.7735,0.57,0.6205,0.0556,False,OK
2026-07-09,11:35:01,6,10,RandomForest,0.6601,0.7965,0.7516,0.5885,313,13,2,8,0.3,0.29,0.6611,6,0.6225,0.7739,0.6819,0.5726,0.0376,False,OK
2026-07-09,11:35:02,6,11,RandomForest,0.6611,0.796,0.7516,0.59,354,15,4,9,0.3,0.3,0.6611,6,0.6209,0.772,0.6794,0.5717,0.0401,False,OK
2026-07-09,11:35:04,6,12,RandomForest,0.6611,0.7958,0.7516,0.59,439,17,7,9,0.3,0.3,0.6611,6,0.6209,0.7724,0.6794,0.5717,0.0401,False,OK
2026-07-09,11:35:04,6,13,RandomForest,0.6601,0.7955,0.7516,0.5885,233,18,8,10,0.3,0.28,0.6611,6,0.6193,0.7725,0.6768,0.5708,0.0408,False,OK
2026-07-09,11:35:06,6,14,RandomForest,0.6601,0.7953,0.7516,0.5885,330,20,3,10,0.3,0.28,0.6611,6,0.6193,0.7712,0.6768,0.5708,0.0408,False,OK
2026-07-09,11:35:07,6,15,RandomForest,0.6582,0.7991,0.742,0.5914,323,6,2,9,0.3,0.29,0.6611,6,0.6165,0.7775,0.6667,0.5733,0.0417,False,OK
2026-07-09,11:35:08,6,16,RandomForest,0.6611,0.7959,0.7516,0.59,340,11,15,9,0.3,0.27,0.6611,6,0.62,0.7751,0.6768,0.572,0.041,False,OK
2026-07-09,11:35:08,6,17,RandomForest,0.6611,0.7948,0.7516,0.59,104,13,6,10,0.3,0.28,0.6611,6,0.6192,0.7739,0.6743,0.5724,0.0419,False,OK
2026-07-09,11:35:10,6,18,RandomForest,0.6611,0.7958,0.7516,0.59,427,11,4,10,0.3,0.28,0.6611,6,0.6184,0.7745,0.6743,0.5711,0.0426,False,OK
2026-07-09,11:35:11,6,19,RandomForest,0.6583,0.7961,0.7516,0.5856,454,11,2,6,0.29,0.26,0.6611,6,0.625,0.7777,0.687,0.5732,0.0333,False,OK
2026-07-09,11:35:12,6,20,RandomForest,0.6547,0.7934,0.7548,0.578,145,20,4,6,0.29,0.29,0.6611,6,0.6201,0.7696,0.6896,0.5634,0.0346,False,OK
2026-07-09,11:35:13,6,21,RandomForest,0.6611,0.7958,0.7516,0.59,491,19,10,9,0.3,0.3,0.6611,6,0.6209,0.7724,0.6794,0.5717,0.0401,False,OK
2026-07-09,11:35:15,6,22,RandomForest,0.6546,0.7959,0.7516,0.5799,482,18,3,7,0.29,0.3,0.6611,6,0.6208,0.771,0.6896,0.5646,0.0338,False,OK
2026-07-09,11:35:16,6,23,RandomForest,0.6611,0.796,0.7516,0.59,372,15,6,9,0.3,0.3,0.6611,6,0.6209,0.7718,0.6794,0.5717,0.0401,False,OK
2026-07-09,11:35:17,6,24,RandomForest,0.6556,0.7957,0.7548,0.5795,453,14,11,5,0.28,0.31,0.6611,6,0.6249,0.773,0.6972,0.5661,0.0307,False,OK
2026-07-09,11:35:18,6,25,RandomForest,0.6611,0.7963,0.7516,0.59,342,16,11,9,0.3,0.3,0.6611,6,0.6202,0.7715,0.6794,0.5705,0.0409,False,OK
