date,time,seq_length,trial_id,model,val_f1,val_auc,val_recall,val_precision,lr,d_model,d_ff,e_layers,dropout,batch_size,patience,val_threshold,best_test_threshold,best_val_so_far,best_trial_id,test_f1,test_auc,test_recall,test_precision,gap_val_test,is_enqueued,status
2026-07-09,09:42:57,4,64,LSTM,0.7162,0.8391,0.6911,0.7432,0.00282602153994544,48,32,3,0.2097398372006726,8,2,0.32,0.24,0.7162,64,0.6919,0.8335,0.6514,0.7378,0.0243,False,OK
2026-07-09,09:19:37,4,22,LSTM,0.7152,0.8365,0.6879,0.7448,0.0029708861680445282,48,16,2,0.22457325608643924,8,5,0.4,0.3,0.7152,22,0.6896,0.8364,0.6387,0.7493,0.0257,False,OK
2026-07-09,09:30:29,4,41,LSTM,0.715,0.8399,0.6911,0.7406,0.0026357147308501186,48,4,4,0.3287428280559463,8,4,0.38,0.34,0.7152,22,0.6903,0.8275,0.6438,0.7441,0.0247,False,OK
2026-07-09,09:38:35,4,56,LSTM,0.7145,0.8371,0.7134,0.7157,0.0029072211213412615,48,256,3,0.34069398161655023,8,5,0.33,0.36,0.7152,22,0.6966,0.8346,0.6718,0.7233,0.0179,False,OK
2026-07-09,09:46:32,4,73,LSTM,0.7141,0.8406,0.7197,0.7085,0.0027955606979562803,64,2,4,0.3453207553982576,16,5,0.27,0.26,0.7162,64,0.6929,0.8339,0.6718,0.7154,0.0211,False,OK
2026-07-09,09:20:16,4,23,LSTM,0.714,0.8343,0.6879,0.7423,0.002868656463718803,8,16,2,0.17842929533589075,8,5,0.3,0.26,0.7152,22,0.6938,0.8358,0.6514,0.742,0.0203,False,OK
2026-07-09,09:39:48,4,58,LSTM,0.7134,0.8394,0.6975,0.73,0.0026757816165670044,48,256,4,0.3891151981365093,8,5,0.34,0.32,0.7152,22,0.6899,0.8364,0.6539,0.7301,0.0234,False,OK
2026-07-09,09:42:09,4,62,LSTM,0.7133,0.8393,0.6815,0.7483,0.0021836066044403518,48,256,3,0.3248463304310358,8,3,0.36,0.27,0.7152,22,0.6895,0.8368,0.6412,0.7456,0.0239,False,OK
2026-07-09,09:16:50,4,17,LSTM,0.7133,0.8351,0.6815,0.7483,0.001567983988197381,256,8,4,0.35938848241596305,8,3,0.43,0.31,0.7133,17,0.6869,0.8344,0.6336,0.75,0.0264,False,OK
2026-07-09,09:50:18,4,82,LSTM,0.7133,0.8403,0.6815,0.7483,0.0028995153622483998,48,16,2,0.25460204548468,8,5,0.33,0.25,0.7162,64,0.6886,0.8386,0.6387,0.747,0.0247,False,OK
2026-07-09,09:48:32,4,78,LSTM,0.7131,0.8313,0.7006,0.7261,0.002456940437301463,32,2,4,0.2833063506282999,16,5,0.45,0.35,0.7162,64,0.7007,0.8342,0.6641,0.7415,0.0125,False,OK
2026-07-09,09:26:06,4,34,LSTM,0.7131,0.8379,0.6847,0.7439,0.002057386708878487,48,16,4,0.35058108021109186,8,4,0.33,0.3,0.7152,22,0.6866,0.839,0.6412,0.739,0.0265,False,OK
2026-07-09,09:14:17,4,13,LSTM,0.7129,0.8359,0.7038,0.7222,0.0016543662262544585,48,8,3,0.35352841458511497,8,5,0.31,0.33,0.7129,13,0.6877,0.8324,0.6641,0.7131,0.0252,False,OK
2026-07-09,09:57:56,4,98,LSTM,0.7126,0.8398,0.6752,0.7544,0.0020370631917308165,16,512,3,0.3532301270381508,8,5,0.38,0.29,0.7162,64,0.6842,0.8325,0.6285,0.7508,0.0284,False,OK
2026-07-09,09:14:56,4,14,LSTM,0.7124,0.8422,0.6783,0.75,0.002010821430773016,48,8,2,0.22882306530855168,8,5,0.43,0.32,0.7129,13,0.6878,0.839,0.6336,0.7523,0.0245,False,OK
2026-07-09,09:48:06,4,77,LSTM,0.712,0.8451,0.7006,0.7237,0.0015802296653561914,256,16,4,0.2718255822901757,16,5,0.32,0.26,0.7162,64,0.6923,0.8363,0.6641,0.723,0.0197,False,OK
2026-07-09,09:20:52,4,25,LSTM,0.7117,0.8403,0.6879,0.7372,0.002937524868320887,48,16,2,0.265572350178823,16,4,0.34,0.24,0.7152,22,0.6856,0.8399,0.6463,0.7299,0.0261,False,OK
2026-07-09,09:21:27,4,26,LSTM,0.7113,0.8396,0.6943,0.7291,0.001479897043067115,16,16,2,0.19448922497039137,8,5,0.29,0.22,0.7152,22,0.689,0.8375,0.6539,0.728,0.0222,False,OK
2026-07-09,09:55:11,4,94,LSTM,0.7112,0.839,0.6783,0.7474,0.0026214643509701162,48,4,2,0.2439376866662001,16,5,0.36,0.27,0.7162,64,0.6824,0.8332,0.626,0.75,0.0288,False,OK
2026-07-09,09:50:43,4,83,LSTM,0.7112,0.8384,0.6783,0.7474,0.0018496907960796817,64,64,4,0.30723902459738617,16,5,0.46,0.37,0.7162,64,0.6887,0.8348,0.6361,0.7508,0.0225,False,OK
