date,time,seq_length,trial_id,model,val_f1,val_auc,val_recall,val_precision,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,actual_trees,patience,val_threshold,best_test_threshold,best_val_so_far,best_trial_id,test_f1,test_auc,test_recall,test_precision,gap_val_test,is_enqueued,status
2026-07-09,14:11:02,16,0,XGBoost,0.7064,0.8442,0.7357,0.6794,100,6,0.1,1.0,1.0,1,0.0,34,3,0.39,0.31,0.7064,0,0.6598,0.8199,0.6514,0.6684,0.0466,True,OK
2026-07-09,14:11:03,16,1,XGBoost,0.7048,0.8449,0.7261,0.6847,500,4,0.01,0.8,0.8,3,0.1,345,3,0.42,0.28,0.7064,0,0.6622,0.8259,0.6336,0.6936,0.0426,True,OK
2026-07-09,14:11:03,16,2,XGBoost,0.7068,0.842,0.7293,0.6856,50,8,0.3,0.7,0.7,1,0.0,7,3,0.41,0.28,0.7068,2,0.6457,0.8134,0.626,0.6667,0.0611,True,OK
2026-07-09,14:11:03,16,3,XGBoost,0.6991,0.8445,0.7325,0.6686,300,3,0.05,0.6,0.6,5,0.5,107,3,0.39,0.28,0.7068,2,0.6727,0.8283,0.6616,0.6842,0.0264,True,OK
2026-07-09,14:11:04,16,4,XGBoost,0.6909,0.8452,0.6656,0.7182,218,20,0.06504856968981275,0.7993292420985183,0.5780093202212182,2,0.05808361216819946,54,5,0.54,0.41,0.7068,2,0.6387,0.8127,0.5802,0.7103,0.0523,False,OK
2026-07-09,14:11:08,16,5,XGBoost,0.7038,0.8456,0.7452,0.6667,321,15,0.001124579825911934,0.9849549260809971,0.9162213204002109,3,0.18182496720710062,320,2,0.34,0.33,0.7068,2,0.6658,0.8124,0.6692,0.6625,0.0379,False,OK
2026-07-09,14:11:09,16,6,XGBoost,0.7007,0.8476,0.6783,0.7245,187,11,0.01174843954800703,0.645614570099021,0.8059264473611898,2,0.29214464853521815,186,3,0.53,0.29,0.7068,2,0.6423,0.8193,0.5802,0.7192,0.0584,False,OK
2026-07-09,14:11:09,16,7,XGBoost,0.6989,0.8489,0.7134,0.685,255,16,0.003123317753376431,0.7571172192068059,0.7962072844310213,1,0.6075448519014384,254,2,0.39,0.3,0.7068,2,0.6514,0.8184,0.6158,0.6914,0.0475,False,OK
2026-07-09,14:11:10,16,8,XGBoost,0.6971,0.8394,0.7293,0.6676,79,20,0.24659691172104828,0.9041986740582306,0.6523068845866853,1,0.6842330265121569,9,3,0.43,0.36,0.7068,2,0.658,0.8115,0.6438,0.6729,0.0391,False,OK
2026-07-09,14:11:10,16,9,XGBoost,0.6904,0.8407,0.742,0.6454,105,11,0.0012167028814593455,0.954660201039391,0.6293899908000085,7,0.31171107608941095,104,4,0.33,0.32,0.7068,2,0.6608,0.8207,0.6718,0.6502,0.0295,False,OK
