date,time,seq_length,trial_id,val_f1,val_auc,val_recall,val_precision,d_model,lr,d_ff,e_layers,top_k,num_kernels,dropout,batch_size,patience,val_threshold,best_test_threshold,best_val_so_far,best_trial_id,test_f1,test_auc,test_recall,test_precision,gap_val_test,is_enqueued,status
2026-07-09,04:36:10,6,47,0.7273,0.8508,0.6879,0.7714,64,0.0023941831338809795,8,2,2,4,0.3986424997690311,8,4,0.38,0.35,0.7273,47,0.672,0.8233,0.6412,0.7059,0.0553,False,OK
2026-07-09,07:42:59,6,92,0.7212,0.8467,0.6879,0.7579,32,0.0023494569833877503,64,5,3,3,0.31777539276348543,8,5,0.49,0.47,0.7273,47,0.694,0.831,0.6463,0.7493,0.0272,False,OK
2026-07-09,06:20:43,6,75,0.7206,0.8575,0.7229,0.7184,32,0.0017412281869383917,64,5,2,3,0.3163853453695612,8,5,0.31,0.31,0.7273,47,0.7047,0.8305,0.6921,0.7177,0.016,False,OK
2026-07-09,07:12:50,6,86,0.7197,0.8538,0.7197,0.7197,128,0.0009645529655817822,8,5,3,3,0.357532504262785,16,5,0.34,0.35,0.7273,47,0.6859,0.8289,0.6972,0.6749,0.0339,False,OK
2026-07-09,03:47:06,6,34,0.7193,0.8542,0.6815,0.7616,64,0.0022481569057858823,8,3,3,4,0.22509053948605873,16,4,0.49,0.38,0.7193,34,0.6821,0.8351,0.6361,0.7353,0.0372,False,OK
2026-07-09,08:21:48,6,99,0.7192,0.8466,0.6975,0.7424,64,0.0010158561875261464,8,4,3,4,0.14703909828907138,8,5,0.43,0.32,0.7273,47,0.6806,0.8266,0.6641,0.6979,0.0386,False,OK
2026-07-09,04:19:41,6,42,0.7188,0.8547,0.7166,0.7212,64,0.0026224362244516783,8,2,2,4,0.2986901252634661,8,4,0.39,0.41,0.7193,34,0.6953,0.8297,0.6794,0.712,0.0235,False,OK
2026-07-09,03:55:02,6,36,0.7179,0.8544,0.7134,0.7226,64,0.0011313541707226198,8,3,3,4,0.2724110348141251,8,5,0.39,0.31,0.7193,34,0.6837,0.8313,0.6794,0.6881,0.0342,False,OK
2026-07-09,03:39:41,6,32,0.7177,0.8474,0.672,0.7701,32,0.001906966086587287,8,3,3,3,0.2770965095676455,16,4,0.42,0.38,0.7177,32,0.6898,0.8257,0.6336,0.7568,0.0279,False,OK
2026-07-09,05:56:02,6,69,0.7169,0.848,0.6815,0.7562,128,0.002331252494322137,8,5,3,4,0.21397619957421735,16,5,0.32,0.21,0.7273,47,0.672,0.8236,0.6387,0.709,0.0449,False,OK
2026-07-09,07:18:05,6,87,0.7168,0.8566,0.7134,0.7203,128,0.00044922372222445185,8,5,3,3,0.37681185817956503,16,5,0.33,0.36,0.7273,47,0.6987,0.8362,0.6845,0.7135,0.0181,False,OK
2026-07-09,05:51:18,6,68,0.7159,0.8366,0.6943,0.739,32,0.002865532581969433,64,3,2,3,0.2529485937223068,16,5,0.43,0.31,0.7273,47,0.6811,0.8183,0.6412,0.7262,0.0348,False,OK
2026-07-09,02:32:00,6,12,0.7157,0.8506,0.6815,0.7535,32,0.0012520816645083673,8,3,3,3,0.24626220089525824,16,5,0.41,0.34,0.7157,12,0.6949,0.8286,0.6463,0.7515,0.0208,False,OK
2026-07-09,06:29:56,6,77,0.715,0.8425,0.6911,0.7406,32,0.0008527184367525133,64,5,2,3,0.2535431562934915,8,5,0.31,0.21,0.7273,47,0.6878,0.83,0.6616,0.7163,0.0272,False,OK
2026-07-09,05:01:18,6,53,0.715,0.852,0.7229,0.7072,64,0.0022151179728510176,8,3,2,6,0.2754418786880778,16,4,0.29,0.27,0.7273,47,0.693,0.8321,0.6921,0.6939,0.022,False,OK
2026-07-09,02:39:07,6,14,0.7145,0.8464,0.7134,0.7157,32,0.0012695254512317693,8,4,3,3,0.10589004772262868,16,4,0.38,0.44,0.7157,12,0.6828,0.8236,0.6819,0.6837,0.0317,False,OK
2026-07-09,05:32:11,6,62,0.7141,0.853,0.7197,0.7085,32,0.002138969980300717,8,3,3,6,0.31536399025115874,16,4,0.22,0.27,0.7273,47,0.6801,0.8266,0.687,0.6733,0.034,False,OK
2026-07-09,06:05:14,6,71,0.7138,0.853,0.707,0.7208,32,0.002269735203533475,64,3,2,4,0.2943930180916905,16,5,0.25,0.2,0.7273,47,0.6885,0.8371,0.6692,0.7089,0.0253,False,OK
2026-07-09,07:50:11,6,93,0.7138,0.8425,0.6911,0.7381,64,0.0007490409562999559,64,6,3,3,0.21341154332671386,8,5,0.4,0.41,0.7273,47,0.6818,0.8284,0.6514,0.7151,0.0321,False,OK
2026-07-09,05:41:18,6,65,0.7136,0.8512,0.7102,0.717,48,0.0027040101482397956,8,2,2,6,0.20651824376856082,16,5,0.3,0.32,0.7273,47,0.6701,0.8298,0.6641,0.6762,0.0435,False,OK
2026-07-09,07:07:39,6,85,0.7136,0.8469,0.6943,0.734,128,0.0021086699035089635,64,5,3,4,0.3537339747373467,16,4,0.25,0.25,0.7273,47,0.6873,0.8197,0.6794,0.6953,0.0263,False,OK
2026-07-09,03:36:25,6,31,0.7133,0.8524,0.6656,0.7684,16,0.0011412897359516592,8,2,3,3,0.07944119271876014,16,5,0.45,0.29,0.7157,12,0.6695,0.8351,0.6081,0.7445,0.0438,False,OK
2026-07-09,06:34:03,6,78,0.7131,0.8434,0.6688,0.7636,64,0.002462687895118716,8,3,3,4,0.2853209614606414,16,5,0.55,0.49,0.7273,47,0.6749,0.8221,0.6234,0.7357,0.0381,False,OK
2026-07-09,04:09:56,6,39,0.7125,0.8449,0.7102,0.7147,64,0.0018440512874115579,128,3,3,6,0.22057613708379759,8,5,0.29,0.24,0.7193,34,0.6922,0.8286,0.6896,0.6949,0.0203,False,OK
2026-07-09,06:14:14,6,74,0.7123,0.8534,0.7452,0.6822,32,0.0013509014157922958,64,3,2,3,0.14469935499210404,16,4,0.32,0.3,0.7273,47,0.707,0.8429,0.7277,0.6875,0.0053,False,OK
2026-07-09,04:00:09,6,37,0.7118,0.8497,0.7197,0.704,64,0.00047559909261495715,8,2,3,4,0.3272472284015474,8,5,0.31,0.32,0.7193,34,0.6932,0.8318,0.687,0.6995,0.0186,False,OK
2026-07-09,03:07:07,6,21,0.7117,0.8478,0.7389,0.6864,16,0.0025724956341288134,16,3,3,3,0.025262456167260704,16,4,0.35,0.32,0.7157,12,0.6823,0.8242,0.7023,0.6635,0.0293,False,OK
2026-07-09,02:43:46,6,16,0.7116,0.8486,0.672,0.7563,16,0.0016633610010610537,8,2,3,3,0.02615037728459342,16,5,0.43,0.36,0.7157,12,0.6768,0.833,0.626,0.7365,0.0349,False,OK
2026-07-09,07:25:53,6,89,0.7116,0.846,0.672,0.7563,128,0.000678496348246473,8,6,2,3,0.30101412129642874,8,5,0.45,0.3,0.7273,47,0.6784,0.8317,0.6387,0.7233,0.0333,False,OK
2026-07-09,06:37:39,6,79,0.7116,0.8455,0.7229,0.7006,48,0.0018534358580319771,64,4,2,3,0.22169813560479215,16,5,0.3,0.35,0.7273,47,0.7039,0.8393,0.6896,0.7188,0.0077,False,OK
2026-07-09,02:35:39,6,13,0.7115,0.847,0.6911,0.7331,32,0.0005667661071234696,32,3,3,3,0.17193061274787136,16,5,0.35,0.28,0.7157,12,0.6883,0.8341,0.6489,0.7328,0.0232,False,OK
2026-07-09,07:29:54,6,90,0.7113,0.8557,0.7102,0.7125,128,0.0014744724211648273,8,5,3,3,0.39958138034549584,16,5,0.32,0.35,0.7273,47,0.6944,0.839,0.7226,0.6682,0.0169,False,OK
2026-07-09,05:05:34,6,55,0.711,0.847,0.6975,0.7252,64,0.0013014677556096722,8,2,2,4,0.3874209839001701,16,4,0.36,0.28,0.7273,47,0.6999,0.8384,0.6794,0.7216,0.0112,False,OK
2026-07-09,03:09:58,6,22,0.7104,0.8396,0.672,0.7536,256,0.0018141571561784621,64,3,3,3,0.022854253378546113,16,4,0.51,0.45,0.7157,12,0.6758,0.8218,0.6285,0.7308,0.0347,False,OK
2026-07-09,04:27:32,6,44,0.7099,0.8383,0.6975,0.7228,64,0.0016469032649538329,64,3,2,4,0.25665252665286775,8,4,0.32,0.33,0.7193,34,0.6953,0.8297,0.659,0.7358,0.0146,False,OK
2026-07-09,05:03:18,6,54,0.7098,0.847,0.7166,0.7031,64,0.0022100273562636265,8,2,2,3,0.3886059098719135,8,3,0.37,0.36,0.7273,47,0.6938,0.8338,0.6947,0.6929,0.016,False,OK
2026-07-09,04:22:58,6,43,0.7096,0.849,0.6847,0.7363,128,0.002085538689975878,32,2,2,4,0.24669739921184558,8,5,0.42,0.32,0.7193,34,0.6836,0.8331,0.6514,0.7191,0.026,False,OK
2026-07-09,05:43:55,6,66,0.7095,0.8458,0.7038,0.7152,64,0.0020521775799407058,8,2,2,4,0.24055723842794455,8,4,0.33,0.34,0.7273,47,0.6995,0.8315,0.687,0.7124,0.01,False,OK
