date,time,seq_length,trial_id,model,val_f1,val_auc,val_recall,val_precision,lr,d_model,n_heads,d_ff,e_layers,dropout,batch_size,patience,val_threshold,best_test_threshold,best_val_so_far,best_trial_id,test_f1,test_auc,test_recall,test_precision,gap_val_test,is_enqueued,status
2026-07-09,09:21:36,4,19,Transformer,0.6998,0.8403,0.672,0.7301,0.0008228678292898759,8,8,64,2,0.014455782397199756,8,2,0.4,0.31,0.7055,17,0.6839,0.8329,0.6412,0.7326,0.016,False,OK
2026-07-09,10:20:46,4,72,Transformer,0.699,0.8194,0.6656,0.7359,0.000148629729951883,32,4,64,5,0.113327364903916,8,3,0.4,0.33,0.709,56,0.6785,0.8097,0.631,0.7337,0.0205,False,OK
2026-07-09,09:20:58,4,18,Transformer,0.699,0.8291,0.6656,0.7359,0.00012483652317979264,32,8,2,2,0.014009595601411615,8,3,0.37,0.36,0.7055,17,0.6876,0.8105,0.6412,0.7412,0.0114,False,OK
2026-07-09,09:40:20,4,48,Transformer,0.6987,0.8419,0.6943,0.7032,0.00044070720316692483,32,8,64,4,0.13459271568159842,8,4,0.43,0.38,0.7055,17,0.6962,0.8389,0.6794,0.7139,0.0025,False,OK
2026-07-09,11:04:05,4,93,Transformer,0.6986,0.8364,0.6975,0.6997,9.172612634371873e-05,48,8,256,6,0.20562630958850314,8,5,0.34,0.3,0.709,56,0.6929,0.8307,0.6718,0.7154,0.0057,False,OK
2026-07-09,09:09:11,4,2,Transformer,0.6981,0.8353,0.6592,0.7419,0.0001,32,8,32,2,0.1,8,3,0.4,0.39,0.6981,2,0.6795,0.8253,0.631,0.7359,0.0187,True,OK
2026-07-09,10:15:18,4,69,Transformer,0.6971,0.8426,0.6561,0.7437,9.07737602785606e-05,128,8,64,6,0.023210171300179126,8,5,0.41,0.3,0.709,56,0.6795,0.8373,0.6285,0.7395,0.0176,False,OK
2026-07-09,09:32:53,4,37,Transformer,0.6968,0.8352,0.6624,0.735,0.0008970933917835087,16,4,64,3,0.0419158768843724,8,2,0.45,0.41,0.7055,17,0.6811,0.8293,0.6387,0.7297,0.0157,False,OK
2026-07-09,09:18:04,4,15,Transformer,0.6964,0.8308,0.672,0.7226,0.0006791364198761198,32,16,64,4,0.003814436090282994,8,2,0.41,0.4,0.6981,2,0.6864,0.8216,0.6489,0.7286,0.01,False,OK
2026-07-09,09:16:49,4,13,Transformer,0.6963,0.8374,0.6975,0.6952,0.00029095292331717643,32,16,32,4,0.03742670954311203,8,2,0.36,0.36,0.6981,2,0.6921,0.8286,0.6692,0.7166,0.0042,False,OK
2026-07-09,09:30:35,4,33,Transformer,0.6962,0.8311,0.6752,0.7186,0.0006527999323173938,32,8,2,3,0.03756262501768427,8,3,0.35,0.33,0.7055,17,0.6819,0.8105,0.6463,0.7216,0.0143,False,OK
2026-07-09,10:36:24,4,79,Transformer,0.6961,0.8326,0.6783,0.7148,0.00011218971736950549,32,2,64,5,0.010826675318470614,8,4,0.37,0.29,0.709,56,0.6802,0.8273,0.6412,0.7241,0.0159,False,OK
2026-07-09,10:17:49,4,70,Transformer,0.6959,0.8412,0.6815,0.711,0.00016837723681116133,32,8,16,6,0.05567430638237712,8,4,0.46,0.43,0.709,56,0.6817,0.8274,0.6539,0.7119,0.0142,False,OK
2026-07-09,09:28:46,4,31,Transformer,0.6957,0.8341,0.6624,0.7324,0.0001194379359641434,32,8,32,2,0.03400510116516836,8,3,0.43,0.3,0.7055,17,0.6767,0.8223,0.6285,0.7329,0.0189,False,OK
2026-07-09,10:51:36,4,87,Transformer,0.6957,0.8372,0.6879,0.7036,0.0003772829501075385,16,8,64,5,0.07824161225072374,16,3,0.34,0.24,0.709,56,0.6911,0.83,0.6718,0.7116,0.0046,False,OK
2026-07-09,10:48:36,4,85,Transformer,0.6957,0.8364,0.6879,0.7036,9.375338454616963e-05,128,8,256,5,0.36211677115266677,8,5,0.39,0.38,0.709,56,0.6799,0.826,0.6539,0.708,0.0158,False,OK
2026-07-09,09:07:56,4,1,Transformer,0.6954,0.8357,0.6688,0.7241,0.001,4,4,2,2,0.3,8,3,0.44,0.36,0.6954,1,0.672,0.8183,0.6387,0.709,0.0233,True,OK
2026-07-09,09:10:08,4,3,Transformer,0.6954,0.8395,0.6688,0.7241,0.001,64,8,128,3,0.2,8,3,0.41,0.3,0.6981,2,0.6765,0.8178,0.6387,0.7192,0.0188,True,OK
2026-07-09,09:43:00,4,51,Transformer,0.6951,0.8374,0.6752,0.7162,0.00034685739227533695,64,1,2,4,0.04835447672888193,8,2,0.35,0.29,0.7055,17,0.6819,0.8322,0.6463,0.7216,0.0132,False,OK
2026-07-09,11:09:13,4,97,Transformer,0.6951,0.8256,0.6752,0.7162,0.0012466068698280706,48,8,64,4,0.08266062526626966,8,3,0.31,0.3,0.709,56,0.6811,0.8031,0.6412,0.7262,0.014,False,OK
2026-07-09,09:23:14,4,21,Transformer,0.6945,0.832,0.6879,0.7013,0.00031203724220706515,16,8,16,4,0.05543291565726001,8,3,0.31,0.31,0.7055,17,0.6832,0.826,0.6667,0.7005,0.0114,False,OK
2026-07-09,09:38:35,4,46,Transformer,0.6945,0.831,0.6624,0.7298,0.00045839274995201017,16,8,64,3,0.02439515706415929,8,2,0.4,0.3,0.7055,17,0.6776,0.8301,0.6285,0.7351,0.0169,False,OK
2026-07-09,10:50:23,4,86,Transformer,0.6944,0.8343,0.6656,0.7257,0.0001716722840465518,32,2,256,6,0.30144087690652616,8,5,0.43,0.29,0.709,56,0.6766,0.8276,0.6361,0.7225,0.0178,False,OK
2026-07-09,09:42:17,4,50,Transformer,0.6935,0.8329,0.6847,0.7026,0.00062243309063299,128,8,4,4,0.09450583022276526,16,4,0.27,0.27,0.7055,17,0.6876,0.8265,0.6692,0.707,0.006,False,OK
2026-07-09,10:37:39,4,80,Transformer,0.6935,0.8382,0.6847,0.7026,0.000163416521461235,32,1,64,5,0.2567647221268433,16,5,0.36,0.37,0.709,56,0.6817,0.8238,0.6539,0.7119,0.0119,False,OK
2026-07-09,09:33:21,4,38,Transformer,0.6934,0.839,0.6879,0.699,0.0014040520670857621,64,8,32,2,0.005728449077024765,8,3,0.33,0.33,0.7055,17,0.678,0.8269,0.6616,0.6952,0.0155,False,OK
2026-07-09,09:39:03,4,47,Transformer,0.6933,0.8374,0.6911,0.6955,0.0003247307511487255,32,4,8,2,0.10496876648187631,8,2,0.32,0.32,0.7055,17,0.6795,0.8221,0.6743,0.6848,0.0138,False,OK
2026-07-09,09:22:04,4,20,Transformer,0.6933,0.8285,0.6624,0.7273,0.0005194580082139433,128,8,64,2,0.04801613645589772,8,3,0.32,0.26,0.7055,17,0.6731,0.8161,0.626,0.7278,0.0203,False,OK
2026-07-09,09:44:36,4,55,Transformer,0.6928,0.8296,0.6752,0.7114,0.00011632051631012795,32,8,2,2,0.005492369529822323,8,3,0.46,0.4,0.7055,17,0.6622,0.8211,0.631,0.6966,0.0306,False,OK
2026-07-09,10:57:37,4,90,Transformer,0.6927,0.8362,0.6783,0.7076,0.00027753834857947006,32,8,2,6,0.21557668807965646,8,5,0.33,0.3,0.709,56,0.6737,0.8249,0.6489,0.7005,0.019,False,OK
2026-07-09,09:10:59,4,5,Transformer,0.6927,0.8371,0.6783,0.7076,0.000936,48,8,4,2,0.387,8,5,0.3,0.25,0.6981,2,0.6789,0.8214,0.6616,0.6971,0.0138,True,OK
2026-07-09,10:27:41,4,75,Transformer,0.6921,0.8293,0.6943,0.6899,8.379611822807292e-05,8,8,64,6,0.2779877627783651,8,5,0.38,0.28,0.709,56,0.6718,0.8147,0.6667,0.677,0.0203,False,OK
2026-07-09,09:57:27,4,61,Transformer,0.6919,0.8274,0.6975,0.6865,8.427683322245566e-05,16,4,64,6,0.12419529932155234,8,5,0.4,0.41,0.709,56,0.6753,0.825,0.6616,0.6897,0.0166,False,OK
2026-07-09,09:15:21,4,11,Transformer,0.6919,0.8252,0.6688,0.7167,0.0015550181908338832,4,4,256,2,0.3046792778211252,16,3,0.39,0.28,0.6981,2,0.6784,0.8164,0.6361,0.7267,0.0135,False,OK
2026-07-09,09:55:23,4,60,Transformer,0.6918,0.8323,0.672,0.7128,0.00014649875472992285,16,8,64,6,0.07643890870506284,16,5,0.42,0.36,0.709,56,0.6782,0.8184,0.6463,0.7135,0.0136,False,OK
2026-07-09,10:03:28,4,64,Transformer,0.6916,0.8373,0.6783,0.7053,0.00025601446107542414,16,8,4,5,0.05491859927126226,8,5,0.36,0.37,0.709,56,0.6702,0.8102,0.6463,0.6959,0.0214,False,OK
2026-07-09,09:26:16,4,27,Transformer,0.6915,0.8303,0.7102,0.6737,0.00012126348500505654,32,16,2,2,0.08296392576364828,8,3,0.31,0.25,0.7055,17,0.6692,0.8232,0.6743,0.6642,0.0223,False,OK
2026-07-09,09:23:54,4,23,Transformer,0.6907,0.8337,0.672,0.7104,0.0017505842490817625,8,8,8,2,0.08981303473831789,8,2,0.3,0.25,0.7055,17,0.6649,0.8136,0.6387,0.6934,0.0258,False,OK
2026-07-09,09:41:43,4,49,Transformer,0.6904,0.8165,0.6783,0.703,0.0012119238341458587,16,8,2,4,0.11640630593459528,8,4,0.2,0.28,0.7055,17,0.6728,0.7968,0.6489,0.6986,0.0176,False,OK
2026-07-09,10:42:10,4,82,Transformer,0.6904,0.8326,0.6783,0.703,7.931951130335175e-05,32,1,64,6,0.1093000788244717,8,4,0.4,0.27,0.709,56,0.6853,0.8282,0.6565,0.7167,0.0052,False,OK
2026-07-09,09:17:22,4,14,Transformer,0.6893,0.8344,0.6146,0.7846,0.00010368640781340284,128,16,32,4,0.08254409390078071,8,2,0.51,0.41,0.6981,2,0.6534,0.827,0.5827,0.7435,0.0359,False,OK
2026-07-09,09:43:56,4,54,Transformer,0.6893,0.8332,0.6783,0.7007,0.0002333393015107317,32,8,16,2,0.03266590905946478,16,3,0.33,0.32,0.7055,17,0.6702,0.8205,0.6489,0.6929,0.0191,False,OK
2026-07-09,09:32:17,4,36,Transformer,0.6891,0.8306,0.7166,0.6637,0.0019471490645462904,16,8,8,4,0.07763900137356627,8,2,0.42,0.42,0.7055,17,0.6875,0.8253,0.6997,0.6757,0.0016,False,OK
2026-07-09,09:49:25,4,57,Transformer,0.6891,0.8328,0.6847,0.6935,0.00013352672861439622,16,1,8,6,0.05544370286920716,8,4,0.34,0.34,0.709,56,0.6789,0.8228,0.659,0.7,0.0102,False,OK
2026-07-09,10:53:43,4,88,Transformer,0.6886,0.8354,0.6656,0.7133,9.857860462181448e-05,16,16,256,6,0.23200243274476345,8,5,0.41,0.31,0.709,56,0.682,0.829,0.6412,0.7283,0.0066,False,OK
2026-07-09,09:24:55,4,24,Transformer,0.6881,0.8349,0.6815,0.6948,8.129240953901555e-05,48,8,2,3,0.0519913631821568,8,2,0.32,0.3,0.7055,17,0.6736,0.8168,0.6616,0.686,0.0145,False,OK
2026-07-09,09:34:02,4,40,Transformer,0.688,0.8364,0.6847,0.6913,0.00012013374159799578,256,1,2,2,0.05819216825274212,8,3,0.28,0.31,0.7055,17,0.6753,0.8223,0.6641,0.6868,0.0127,False,OK
2026-07-09,09:15:53,4,12,Transformer,0.6879,0.83,0.6879,0.6879,5.760261143826504e-05,32,8,32,2,0.23926944693611485,8,2,0.33,0.29,0.6981,2,0.6718,0.8225,0.6616,0.6824,0.0161,False,OK
2026-07-09,11:07:13,4,95,Transformer,0.6878,0.8269,0.6911,0.6845,9.420666127406513e-05,32,8,256,6,0.2228161707074724,8,5,0.36,0.35,0.709,56,0.6701,0.8181,0.6616,0.6789,0.0177,False,OK
2026-07-09,11:01:18,4,92,Transformer,0.6878,0.8308,0.6911,0.6845,8.201633304793342e-05,32,4,64,6,0.3005155672924499,8,5,0.27,0.28,0.709,56,0.6744,0.824,0.6641,0.685,0.0134,False,OK
2026-07-09,09:58:09,4,62,Transformer,0.6877,0.8229,0.6943,0.6813,0.0009669439225694187,16,16,64,5,0.17843143675480755,8,3,0.42,0.35,0.709,56,0.6624,0.8154,0.6539,0.671,0.0253,False,OK
2026-07-09,10:29:23,4,76,Transformer,0.6875,0.8321,0.7006,0.6748,5.435085827832771e-05,32,8,32,4,0.215139742521583,8,5,0.34,0.31,0.709,56,0.6743,0.8172,0.6743,0.6743,0.0132,False,OK
2026-07-09,09:25:42,4,26,Transformer,0.6873,0.8279,0.707,0.6687,0.001968525836165515,8,8,64,3,0.07083004257083655,16,2,0.33,0.39,0.7055,17,0.6777,0.827,0.6768,0.6786,0.0096,False,OK
2026-07-09,09:34:49,4,42,Transformer,0.6872,0.8303,0.6752,0.6997,0.001984438064951013,8,8,64,2,0.015469679680547578,8,3,0.43,0.36,0.7055,17,0.6755,0.823,0.6463,0.7075,0.0117,False,OK
2026-07-09,09:50:29,4,58,Transformer,0.6871,0.8376,0.6083,0.7893,0.0004751342060674761,256,8,128,6,0.005008286483905021,8,5,0.54,0.45,0.709,56,0.6591,0.8186,0.5929,0.742,0.0279,False,OK
2026-07-09,09:27:00,4,28,Transformer,0.6865,0.8187,0.6975,0.6759,0.00019965412684403043,16,8,2,2,0.048042819563068814,16,3,0.29,0.29,0.7055,17,0.6786,0.8019,0.6768,0.6803,0.0079,False,OK
2026-07-09,10:21:39,4,73,Transformer,0.686,0.832,0.7166,0.6579,6.97955419305026e-05,32,2,8,4,0.07456352565514242,8,4,0.34,0.3,0.709,56,0.6658,0.8151,0.6819,0.6505,0.0201,False,OK
2026-07-09,10:06:42,4,65,Transformer,0.6855,0.8246,0.6561,0.7178,0.00016321594490581662,4,4,64,6,0.02334395015069362,8,4,0.38,0.33,0.709,56,0.6649,0.8097,0.6209,0.7155,0.0207,False,OK
2026-07-09,09:18:36,4,16,Transformer,0.6853,0.8301,0.7038,0.6677,0.0011142440292213572,128,16,64,5,0.01921801096223942,8,3,0.2,0.2,0.6981,2,0.6834,0.8209,0.6947,0.6724,0.0019,False,OK
2026-07-09,09:25:27,4,25,Transformer,0.6847,0.8197,0.6433,0.7319,0.0001614882557492079,64,2,2,3,0.030976773016266973,8,4,0.32,0.25,0.7055,17,0.6639,0.8236,0.6209,0.7135,0.0208,False,OK
2026-07-09,11:06:10,4,94,Transformer,0.6845,0.8295,0.6943,0.6749,8.536301634810979e-05,32,8,4,6,0.3556832428705158,8,4,0.41,0.4,0.709,56,0.6759,0.8117,0.6819,0.67,0.0085,False,OK
2026-07-09,09:13:01,4,8,Transformer,0.6835,0.8307,0.6911,0.676,5.114334905255214e-05,32,4,256,3,0.025423340114409457,16,4,0.34,0.29,0.6981,2,0.6624,0.8222,0.6565,0.6684,0.0211,False,OK
2026-07-09,09:31:24,4,34,Transformer,0.6827,0.8248,0.6783,0.6871,0.0002961921365465791,4,4,128,4,0.023576803672602092,8,2,0.37,0.27,0.7055,17,0.6728,0.8177,0.6565,0.6898,0.0099,False,OK
2026-07-09,09:43:39,4,53,Transformer,0.6823,0.8311,0.6943,0.6708,0.0003649421946892894,64,8,128,2,0.056792510936450435,16,2,0.25,0.27,0.7055,17,0.6692,0.8211,0.6641,0.6744,0.0131,False,OK
2026-07-09,09:14:16,4,9,Transformer,0.6821,0.825,0.6561,0.7103,0.0006770238573690867,4,1,8,2,0.37187906093702927,8,5,0.36,0.27,0.6981,2,0.6667,0.8188,0.6285,0.7098,0.0155,False,OK
2026-07-09,09:36:44,4,44,Transformer,0.6807,0.8193,0.6178,0.7578,0.00015095371853902388,4,4,8,2,0.04122522235825907,8,4,0.44,0.27,0.7055,17,0.6469,0.8131,0.5827,0.727,0.0338,False,OK
2026-07-09,09:33:39,4,39,Transformer,0.6784,0.8201,0.6752,0.6817,0.0005427306602874792,16,8,512,3,0.0868687788354269,8,2,0.39,0.38,0.7055,17,0.6588,0.8057,0.6387,0.6802,0.0196,False,OK
2026-07-09,09:31:48,4,35,Transformer,0.6783,0.8201,0.6783,0.6783,0.0006978767212603706,8,2,64,2,0.05731112758675207,8,2,0.22,0.2,0.7055,17,0.6727,0.8165,0.659,0.687,0.0056,False,OK
2026-07-09,10:01:22,4,63,Transformer,0.6781,0.8201,0.6306,0.7333,0.0001275718160416736,4,4,8,6,0.1524632616802491,8,5,0.46,0.29,0.709,56,0.6478,0.7989,0.5827,0.7293,0.0303,False,OK
2026-07-09,09:23:32,4,22,Transformer,0.6773,0.8299,0.6783,0.6762,0.00012855289201377045,16,1,64,3,0.006500091297551854,16,2,0.27,0.25,0.7055,17,0.676,0.8151,0.6768,0.6751,0.0013,False,OK
2026-07-09,09:12:37,4,7,Transformer,0.6768,0.8199,0.6369,0.722,0.002069565682436442,48,1,128,6,0.23915999152443407,8,2,0.2,0.2,0.6981,2,0.6676,0.8153,0.631,0.7086,0.0093,False,OK
2026-07-09,09:27:30,4,29,Transformer,0.6767,0.8169,0.6465,0.7098,0.00040963485445789086,4,1,64,2,0.0024331201544045937,8,2,0.38,0.27,0.7055,17,0.6426,0.8095,0.6107,0.678,0.0341,False,OK
2026-07-09,09:27:44,4,30,Transformer,0.6763,0.8282,0.672,0.6806,0.0007706094078510277,8,8,256,2,0.08889631864378197,8,2,0.37,0.33,0.7055,17,0.6573,0.8134,0.6539,0.6607,0.019,False,OK
2026-07-09,09:07:02,4,0,Transformer,0.6761,0.8177,0.6879,0.6646,0.001,4,4,2,2,0.0,8,3,0.28,0.29,0.6761,0,0.6608,0.8078,0.6641,0.6574,0.0153,True,OK
2026-07-09,09:43:30,4,52,Transformer,0.6721,0.8135,0.6529,0.6926,0.0007590746537391469,8,1,64,5,0.08062109660784318,8,3,0.23,0.26,0.7055,17,0.6504,0.8089,0.6438,0.6571,0.0217,False,OK
2026-07-09,09:12:11,4,6,Transformer,0.6522,0.7918,0.672,0.6336,0.00010526458851636462,4,4,64,4,0.3140703845572055,16,4,0.26,0.33,0.6981,2,0.6335,0.7948,0.6641,0.6056,0.0187,False,OK
2026-07-09,09:34:19,4,41,Transformer,0.5847,0.7058,0.8631,0.4421,0.0007111972824206772,2,2,64,3,0.021904334637532174,8,2,0.2,0.2,0.7055,17,0.5848,0.705,0.8422,0.4479,-0.0001,False,OK
2026-07-09,10:08:10,4,66,Transformer,0.5692,0.7405,0.4713,0.7184,7.1679715151603e-05,16,8,2,6,0.013966987218172897,8,4,0.65,0.65,0.709,56,0.5517,0.7299,0.4478,0.7184,0.0175,False,OK
2026-07-09,09:14:41,4,10,Transformer,0.5556,0.6751,0.6051,0.5135,5.565297673672456e-05,2,2,32,2,0.2332585280797154,8,5,0.6,0.6,0.6981,2,0.5684,0.6994,0.6081,0.5335,-0.0128,False,OK
2026-07-09,09:10:16,4,4,Transformer,0.4864,0.5655,1.0,0.3214,0.001,2,2,2,2,0.0,16,3,0.2,0.2,0.6981,2,0.4867,0.5778,1.0,0.3216,-0.0002,True,OK
