date,time,seq_length,trial_id,model,val_f1,val_auc,val_recall,val_precision,n_estimators,max_depth,min_samples_split,min_samples_leaf,val_threshold,best_test_threshold,best_val_so_far,best_trial_id,test_f1,test_auc,test_recall,test_precision,gap_val_test,is_enqueued,status
2026-07-09,14:09:30,16,0,RandomForest,0.7034,0.8488,0.7325,0.6765,100,10,2,1,0.39,0.26,0.7034,0,0.6623,0.822,0.6438,0.6819,0.0411,True,OK
2026-07-09,14:09:32,16,1,RandomForest,0.6861,0.8334,0.8248,0.5873,500,20,2,1,0.26,0.29,0.7034,0,0.6571,0.7975,0.7583,0.5798,0.029,True,OK
2026-07-09,14:09:32,16,2,RandomForest,0.6887,0.8383,0.7293,0.6524,200,5,10,5,0.37,0.33,0.7034,0,0.6624,0.8163,0.659,0.6658,0.0263,True,OK
2026-07-09,14:09:33,16,3,RandomForest,0.7019,0.8466,0.7197,0.6848,300,12,5,2,0.44,0.34,0.7034,0,0.6533,0.8196,0.6209,0.6893,0.0486,True,OK
2026-07-09,14:09:34,16,4,RandomForest,0.7024,0.8466,0.6879,0.7176,218,20,15,6,0.53,0.26,0.7034,0,0.6378,0.821,0.5802,0.7081,0.0647,False,OK
2026-07-09,14:09:35,16,5,RandomForest,0.6829,0.8331,0.7166,0.6522,120,4,3,9,0.38,0.37,0.7034,0,0.6521,0.8101,0.6438,0.6606,0.0308,False,OK
2026-07-09,14:09:36,16,6,RandomForest,0.7093,0.8453,0.742,0.6793,321,15,2,10,0.4,0.3,0.7093,6,0.6727,0.8209,0.6641,0.6815,0.0366,False,OK
2026-07-09,14:09:37,16,7,RandomForest,0.7021,0.842,0.7357,0.6715,425,6,5,2,0.38,0.29,0.7093,6,0.6554,0.8206,0.6387,0.6729,0.0468,False,OK
2026-07-09,14:09:38,16,8,RandomForest,0.7005,0.8462,0.7261,0.6766,187,11,10,3,0.41,0.23,0.7093,6,0.6623,0.8219,0.6438,0.6819,0.0382,False,OK
2026-07-09,14:09:39,16,9,RandomForest,0.6819,0.8356,0.7134,0.6531,325,4,7,4,0.38,0.36,0.7093,6,0.6485,0.8116,0.6361,0.6614,0.0334,False,OK
2026-07-09,14:09:40,16,10,RandomForest,0.7038,0.8463,0.7452,0.6667,313,13,2,8,0.38,0.28,0.7093,6,0.6675,0.8216,0.6641,0.671,0.0362,False,OK
2026-07-09,14:09:41,16,11,RandomForest,0.7039,0.8475,0.742,0.6695,354,15,4,9,0.38,0.27,0.7093,6,0.6701,0.8213,0.6667,0.6735,0.0339,False,OK
2026-07-09,14:09:43,16,12,RandomForest,0.7059,0.8471,0.7452,0.6705,439,17,7,9,0.38,0.31,0.7093,6,0.6718,0.8214,0.6692,0.6744,0.0341,False,OK
2026-07-09,14:09:44,16,13,RandomForest,0.7025,0.8455,0.7484,0.662,427,18,12,8,0.37,0.28,0.7093,6,0.6751,0.8208,0.6794,0.6709,0.0274,False,OK
2026-07-09,14:09:46,16,14,RandomForest,0.7059,0.8459,0.7452,0.6705,491,15,2,6,0.39,0.26,0.7093,6,0.6735,0.8211,0.6718,0.6752,0.0324,False,OK
2026-07-09,14:09:47,16,15,RandomForest,0.7052,0.8469,0.7389,0.6744,411,10,14,6,0.38,0.27,0.7093,6,0.6675,0.8232,0.659,0.6762,0.0376,False,OK
2026-07-09,14:09:48,16,16,RandomForest,0.7093,0.8456,0.742,0.6793,277,15,10,10,0.4,0.32,0.7093,6,0.6727,0.8209,0.6641,0.6815,0.0366,False,OK
