date,time,seq_length,trial_id,model,val_f1,val_auc,val_recall,val_precision,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,actual_trees,patience,val_threshold,best_test_threshold,best_val_so_far,best_trial_id,test_f1,test_auc,test_recall,test_precision,gap_val_test,is_enqueued,status
2026-07-09,11:36:26,6,0,XGBoost,0.6577,0.7989,0.7803,0.5684,100,6,0.1,1.0,1.0,1,0.0,29,3,0.24,0.23,0.6577,0,0.6218,0.7783,0.7176,0.5486,0.0359,True,OK
2026-07-09,11:36:26,6,1,XGBoost,0.6657,0.8044,0.7707,0.586,500,4,0.01,0.8,0.8,3,0.1,258,3,0.26,0.27,0.6657,1,0.6271,0.7813,0.6997,0.5682,0.0386,True,OK
2026-07-09,11:36:27,6,2,XGBoost,0.6439,0.7923,0.7803,0.5481,50,8,0.3,0.7,0.7,1,0.0,8,3,0.26,0.31,0.6657,1,0.6177,0.7753,0.7277,0.5366,0.0262,True,OK
2026-07-09,11:36:27,6,3,XGBoost,0.6639,0.7965,0.7611,0.5887,300,3,0.05,0.6,0.6,5,0.5,51,3,0.3,0.29,0.6657,1,0.6267,0.7795,0.6921,0.5726,0.0372,True,OK
2026-07-09,11:36:27,6,4,XGBoost,0.6548,0.7898,0.7643,0.5728,218,20,0.06504856968981275,0.7993292420985183,0.5780093202212182,2,0.05808361216819946,46,5,0.31,0.31,0.6657,1,0.6051,0.7634,0.6921,0.5375,0.0497,False,OK
2026-07-09,11:36:31,6,5,XGBoost,0.6487,0.7879,0.7675,0.5618,321,15,0.001124579825911934,0.9849549260809971,0.9162213204002109,3,0.18182496720710062,320,2,0.31,0.32,0.6657,1,0.5989,0.7645,0.6819,0.5339,0.0498,False,OK
2026-07-09,11:36:32,6,6,XGBoost,0.6531,0.7908,0.7675,0.5684,187,11,0.01174843954800703,0.645614570099021,0.8059264473611898,2,0.29214464853521815,185,3,0.28,0.31,0.6657,1,0.6127,0.7668,0.7023,0.5433,0.0405,False,OK
2026-07-09,11:36:33,6,7,XGBoost,0.6549,0.7914,0.7675,0.5711,255,16,0.003123317753376431,0.7571172192068059,0.7962072844310213,1,0.6075448519014384,254,2,0.3,0.31,0.6657,1,0.6173,0.7707,0.6997,0.5522,0.0376,False,OK
2026-07-09,11:36:33,6,8,XGBoost,0.6429,0.7933,0.7739,0.5498,79,20,0.24659691172104828,0.9041986740582306,0.6523068845866853,1,0.6842330265121569,8,3,0.29,0.42,0.6657,1,0.6022,0.7673,0.7048,0.5256,0.0407,False,OK
2026-07-09,11:36:33,6,9,XGBoost,0.6497,0.7921,0.7325,0.5838,105,11,0.0012167028814593455,0.954660201039391,0.6293899908000085,7,0.31171107608941095,104,4,0.32,0.32,0.6657,1,0.6199,0.7728,0.6743,0.5736,0.0298,False,OK
2026-07-09,11:36:34,6,10,XGBoost,0.6657,0.8061,0.7707,0.586,448,3,0.02134897198365317,0.841898172650503,0.7619128128093872,3,0.18556568622710587,176,4,0.27,0.28,0.6657,1,0.6288,0.7812,0.7048,0.5676,0.0369,False,OK
2026-07-09,11:36:34,6,11,XGBoost,0.6612,0.8056,0.7643,0.5825,474,5,0.01144141475946822,0.7753747596070704,0.8132934323300276,1,0.15732603553275873,204,3,0.26,0.25,0.6657,1,0.6301,0.7858,0.7023,0.5714,0.031,False,OK
2026-07-09,11:36:35,6,12,XGBoost,0.6603,0.8007,0.7675,0.5793,353,6,0.008133405573570231,0.8202653893527182,0.9726872768199497,6,0.12977386689343998,314,3,0.26,0.24,0.6657,1,0.6168,0.776,0.6921,0.5562,0.0435,False,OK
2026-07-09,11:36:35,6,13,XGBoost,0.6602,0.7957,0.7643,0.5811,423,8,0.0679306891540692,0.8981039795803184,0.8119853975542913,4,0.44785986825007595,36,4,0.29,0.25,0.6657,1,0.615,0.7705,0.687,0.5567,0.0452,False,OK
2026-07-09,11:36:36,6,14,XGBoost,0.6592,0.7994,0.7516,0.5871,490,2,0.015265615120011228,0.7293023240258234,0.6847206772510797,7,0.11293526642960407,263,2,0.32,0.31,0.6657,1,0.624,0.7816,0.6819,0.5751,0.0352,False,OK
2026-07-09,11:36:36,6,15,XGBoost,0.6676,0.8066,0.7739,0.587,382,4,0.09631789525384356,0.9920129988123861,0.6400551889834704,5,0.12132877818462398,27,3,0.26,0.26,0.6676,15,0.6301,0.7851,0.7023,0.5714,0.0374,False,OK
2026-07-09,11:36:36,6,16,XGBoost,0.6667,0.802,0.7707,0.5874,281,3,0.14293077490705453,0.9282119110753435,0.5320763806704023,3,0.28302529015720124,25,3,0.27,0.27,0.6676,15,0.6324,0.7849,0.7048,0.5735,0.0342,False,OK
2026-07-09,11:36:37,6,17,XGBoost,0.6602,0.7974,0.758,0.5848,308,6,0.06745039400228034,0.9107451517739795,0.6488984182470833,3,0.5355346505090712,41,2,0.27,0.24,0.6676,15,0.6142,0.7781,0.6845,0.5569,0.046,False,OK
2026-07-09,11:36:37,6,18,XGBoost,0.6694,0.8021,0.7771,0.588,295,2,0.11100783274318998,0.9480123693393426,0.6739452080830536,6,0.06422100470509792,43,3,0.29,0.29,0.6694,18,0.6279,0.7819,0.6997,0.5694,0.0416,False,OK
2026-07-09,11:36:37,6,19,XGBoost,0.6592,0.8013,0.7548,0.5852,305,2,0.23844082757719579,0.9515977684925708,0.6051996096921004,7,0.026932226434274745,14,2,0.3,0.3,0.6694,18,0.6289,0.784,0.6921,0.5763,0.0303,False,OK
2026-07-09,11:36:38,6,20,XGBoost,0.6694,0.8054,0.7834,0.5843,149,4,0.11333186647600386,0.941360471958717,0.8194570485830894,6,0.32545376047867824,25,2,0.26,0.26,0.6694,18,0.629,0.7801,0.7074,0.5662,0.0404,False,OK
2026-07-09,11:36:38,6,21,XGBoost,0.6658,0.8067,0.8025,0.5688,124,5,0.2940057393970998,0.8064516041897251,0.8116056576164153,8,0.2836534494609039,11,2,0.24,0.25,0.6694,18,0.6205,0.7748,0.7176,0.5465,0.0453,False,OK
2026-07-09,11:36:38,6,22,XGBoost,0.6667,0.8057,0.7803,0.5819,227,4,0.052376679924630444,0.9989645635839076,0.7997468553319516,10,0.11459691969740052,73,4,0.25,0.3,0.6694,18,0.6249,0.7844,0.7099,0.558,0.0418,False,OK
2026-07-09,11:36:38,6,23,XGBoost,0.6685,0.8052,0.7834,0.5829,120,3,0.08670622441560731,0.9808299638340698,0.8820003746855838,7,0.6597236662182191,43,3,0.25,0.28,0.6694,18,0.6263,0.7817,0.7099,0.5602,0.0422,False,OK
2026-07-09,11:36:39,6,24,XGBoost,0.6694,0.8075,0.7803,0.5861,102,4,0.06003854004795514,0.9611192014760638,0.863239594725774,8,0.8487272573049465,52,3,0.26,0.31,0.6694,18,0.6258,0.7837,0.715,0.5564,0.0436,False,OK
2026-07-09,11:36:39,6,25,XGBoost,0.6549,0.7949,0.7675,0.5711,57,9,0.051383720107017784,0.8570744638630036,0.8820522181971124,10,0.7449421284614484,54,2,0.26,0.26,0.6694,18,0.6178,0.7725,0.6972,0.5547,0.0371,False,OK
2026-07-09,11:36:39,6,26,XGBoost,0.6685,0.8019,0.7739,0.5884,75,5,0.009970470950028638,0.984663979900695,0.8770407693600549,9,0.9695948496083986,74,3,0.29,0.28,0.6694,18,0.625,0.783,0.6997,0.5647,0.0435,False,OK
2026-07-09,11:36:40,6,27,XGBoost,0.6496,0.79,0.7675,0.5631,160,10,0.06868059628275772,0.9382020442217296,0.7540659524953307,7,0.17628147268060318,37,2,0.26,0.33,0.6694,18,0.6111,0.7642,0.6997,0.5424,0.0385,False,OK
