date,time,seq_length,trial_id,model,val_f1,val_auc,val_recall,val_precision,lr,d_model,n_heads,d_ff,e_layers,dropout,batch_size,patience,val_threshold,best_test_threshold,best_val_so_far,best_trial_id,test_f1,test_auc,test_recall,test_precision,gap_val_test,is_enqueued,status
2026-07-09,12:07:55,6,23,Transformer,0.7273,0.8492,0.7389,0.716,0.00016181878609307875,64,1,512,3,0.2786789253900541,8,5,0.38,0.42,0.7273,23,0.6999,0.8385,0.6972,0.7026,0.0274,False,OK
2026-07-09,12:28:24,6,38,Transformer,0.7273,0.8537,0.6879,0.7714,0.0002123356378286664,64,4,128,3,0.12141484617826231,8,3,0.39,0.28,0.7273,23,0.6868,0.841,0.6361,0.7463,0.0405,False,OK
2026-07-09,12:35:05,6,44,Transformer,0.7249,0.857,0.7134,0.7368,0.00033832369098304256,32,16,256,4,0.2615832234534288,8,5,0.31,0.27,0.7273,23,0.6924,0.8409,0.6616,0.7263,0.0325,False,OK
2026-07-09,11:44:56,6,10,Transformer,0.7237,0.8541,0.7134,0.7344,0.00015542748743850268,64,16,128,3,0.19920327019057074,8,4,0.36,0.32,0.7237,10,0.695,0.8464,0.6667,0.7258,0.0288,False,OK
2026-07-09,13:49:18,6,90,Transformer,0.7236,0.8517,0.6879,0.7633,0.00014178820995651054,32,16,256,4,0.28889883342215805,8,5,0.38,0.31,0.7273,23,0.6885,0.8438,0.6412,0.7434,0.0351,False,OK
2026-07-09,12:38:15,6,45,Transformer,0.7231,0.8605,0.707,0.74,0.0004058163959568887,32,16,256,5,0.29295123649528676,8,5,0.37,0.33,0.7273,23,0.6943,0.8429,0.6616,0.7303,0.0289,False,OK
2026-07-09,12:40:23,6,46,Transformer,0.723,0.8551,0.6815,0.7698,0.0005702695672100779,16,16,256,3,0.2696839799381978,8,5,0.54,0.42,0.7273,23,0.6823,0.8394,0.6285,0.7462,0.0407,False,OK
2026-07-09,12:24:00,6,35,Transformer,0.7228,0.846,0.6975,0.75,0.00048206074556083554,48,1,512,4,0.3033188000908957,8,4,0.38,0.39,0.7273,23,0.6897,0.8334,0.659,0.7235,0.033,False,OK
2026-07-09,13:22:05,6,73,Transformer,0.7227,0.851,0.6847,0.7651,0.0004011547587024514,64,16,128,5,0.134749935818605,8,5,0.38,0.29,0.7273,23,0.6876,0.8352,0.6412,0.7412,0.0351,False,OK
2026-07-09,11:47:32,6,11,Transformer,0.7213,0.8524,0.7006,0.7432,0.0001572911739146986,64,16,128,4,0.229899133228866,8,5,0.38,0.28,0.7237,10,0.6838,0.8429,0.6438,0.7291,0.0375,False,OK
2026-07-09,12:09:47,6,24,Transformer,0.7208,0.8496,0.6783,0.769,0.00017677773255560014,48,1,512,3,0.30383883235690834,8,5,0.33,0.27,0.7273,23,0.6832,0.8411,0.631,0.7447,0.0376,False,OK
2026-07-09,13:14:50,6,70,Transformer,0.7208,0.854,0.707,0.7351,0.00032193268247162607,48,1,512,4,0.21538385838190338,8,3,0.37,0.34,0.7273,23,0.6906,0.8427,0.6616,0.7222,0.0302,False,OK
2026-07-09,13:30:18,6,78,Transformer,0.7208,0.8527,0.6783,0.769,8.201610227365548e-05,64,1,512,2,0.29038267785403976,8,5,0.36,0.27,0.7273,23,0.6685,0.8334,0.6107,0.7385,0.0523,False,OK
2026-07-09,12:29:46,6,40,Transformer,0.7207,0.8567,0.6943,0.7491,0.0002115828219605895,64,4,512,2,0.043208973510883264,16,3,0.38,0.35,0.7273,23,0.7003,0.8438,0.6718,0.7313,0.0204,False,OK
2026-07-09,13:53:31,6,92,Transformer,0.7203,0.8544,0.6847,0.7597,0.00010627117548664353,32,16,256,4,0.1340165066183087,8,5,0.41,0.36,0.7273,23,0.6767,0.8372,0.631,0.7294,0.0436,False,OK
2026-07-09,14:02:03,6,99,Transformer,0.7203,0.8503,0.7134,0.7273,0.0002748295354818283,64,8,256,4,0.25970254460166675,8,5,0.25,0.23,0.7273,23,0.6897,0.8354,0.6616,0.7202,0.0306,False,OK
2026-07-09,12:49:50,6,50,Transformer,0.7201,0.8571,0.7293,0.7112,0.00016317016751657017,48,2,128,3,0.08345123490030637,8,4,0.31,0.32,0.7273,23,0.7001,0.8408,0.6921,0.7083,0.02,False,OK
2026-07-09,13:06:46,6,64,Transformer,0.7197,0.8532,0.6911,0.7509,0.00030818715951900003,64,1,512,4,0.25796505814145376,8,5,0.29,0.23,0.7273,23,0.6757,0.835,0.6361,0.7205,0.0441,False,OK
2026-07-09,12:13:10,6,27,Transformer,0.7194,0.8534,0.7102,0.7288,0.00016696014407285254,64,1,512,4,0.1288965502147175,16,5,0.35,0.36,0.7273,23,0.695,0.8377,0.6667,0.7258,0.0244,False,OK
2026-07-09,11:49:32,6,12,Transformer,0.7192,0.8538,0.6975,0.7424,8.604606182426513e-05,64,1,128,3,0.23797457861440593,8,5,0.45,0.32,0.7237,10,0.683,0.8395,0.6387,0.7339,0.0362,False,OK
2026-07-09,12:18:39,6,31,Transformer,0.7192,0.8488,0.6975,0.7424,0.00013324074922493653,128,1,512,3,0.3552164664551218,8,5,0.4,0.34,0.7273,23,0.6908,0.8398,0.6565,0.7288,0.0284,False,OK
2026-07-09,13:44:28,6,87,Transformer,0.7183,0.851,0.6497,0.8031,0.00016784586866296227,64,16,128,3,0.26971134697581955,8,5,0.48,0.29,0.7273,23,0.6667,0.8415,0.5929,0.7614,0.0516,False,OK
2026-07-09,13:32:24,6,79,Transformer,0.7182,0.8522,0.6656,0.7799,0.00015955126873827945,32,16,64,3,0.24569683359106984,8,5,0.42,0.33,0.7273,23,0.6537,0.8342,0.598,0.7209,0.0645,False,OK
2026-07-09,11:37:15,6,3,Transformer,0.7172,0.8455,0.6624,0.782,0.001,64,8,128,3,0.2,8,3,0.43,0.25,0.7172,3,0.6676,0.84,0.6031,0.7476,0.0496,True,OK
2026-07-09,13:50:51,6,91,Transformer,0.717,0.8521,0.7102,0.724,0.0006870872530521542,32,16,256,6,0.31902552641268833,16,5,0.52,0.52,0.7273,23,0.6887,0.8324,0.6616,0.7182,0.0283,False,OK
2026-07-09,12:21:18,6,33,Transformer,0.717,0.8517,0.6656,0.777,0.00013974197116826972,32,16,512,3,0.27077331567127666,8,3,0.56,0.38,0.7273,23,0.661,0.8295,0.5954,0.7429,0.056,False,OK
