phone_no_m,city_name,county_name,idcard_cnt,label,arpu_mean,arpu_std,arpu_min,arpu_max,arpu_range,arpu_trend
672ddbf02a5544d32e4ecc9433b1981bffe23bf912273a3a835f6cccb78b8ed7554e9ab0fbcd33d19eb6063ce00542dd223cc5cc83c68f07bcf933547b6776b1,绵阳,江油分公司,1,0,-0.08115902691446406,0.06699818109874937,-0.1653423312473978,0.0250442376501959,0.1903865688975937,-0.02040469495718841
5e1272273e041e82cb275ae877710be98cdaf5b0a8f34de8d361f71d5268fa0851edffd3950e170df1e3846fcf90cc7cc8299be9139a2ac4b5c5e5121d832674,德阳,旌阳分公司,1,0,0.20452482187412258,0.31203950301482947,-0.2329952479508092,0.5475989904198514,0.7805942383706606,-0.09493415431400785
eaab3472ec87b076e69e6e8bb62b14341638fc63661a6c682d6add360a4332a8ad294d8470d64a73c6e53e8413f0ad93b9ea65afab717e58d312554f33553ee7,成都,金堂分公司,2,0,-0.2580749044082331,0.24128283459685496,-0.4662040230651618,0.1508822751779099,0.6170862982430717,0.0722544353969967
0ce1bb415704178bf44e9c9b431a39b083a132c8e6d99f3627cd4520064b93ec66a72d085a67f0f40eebb9f901072965073e398f04c4ae500a1db4dfb13a972c,成都,高新分公司,2,0,0.07206814592048874,0.8602282328373034,-0.4457077640841567,1.6865433007628865,2.1322510648470434,-0.09568111766528291
28b87f35f63f65096a53e3a4c97eaffd4a6c43ffa7e92d7706b20520aa11fff0f4ce06203f66758ec0f0e70780e4e258aae6aa1f23439e115528e08eda71ed20,德阳,旌阳分公司,1,0,-0.01619903923315831,0.07317231833571727,-0.1209644684278146,0.0875477508837248,0.2085122193115394,-0.02144703594666071
16de3bcbd05ae39e8a553a8959d2ef6e31d9eaf34c5643ae336369ea6e3afb5dc898aa7b4ae4bd18cd013e25540f491b59befeabccd2b1ba9167836e241a10d7,达州,宣汉县分公司,2,0,0.19930946350692255,0.24897721258018762,-0.0410843153525649,0.7508714251607231,0.791955740513288,-0.06758667912095799
a19e29d2dfcf631a412c9dfd0a14f0d79ec6d784168a84e5527d7de26e37505d4fd363f6db9a5760ec88b63bb01799954fd1a24c3cd2ca3006d8977805bfb67e,成都,郫都分公司,1,1,-0.5538611031655012,0.2652158431643617,-0.7325827614051126,-0.0959301895758991,0.6366525718292135,0.024274334788153176
7b6b79beebb15203f984eb1b4232581151cfe633037c6467155f925b0aee6413d1af1a610bc8b3dcd90716fdd251c6053285588d89cafb87186d40a404f980e9,乐山,犍为分公司,4,1,-0.6420634238887133,0.18185482816486992,-0.7698475290625268,-0.2067024993952493,0.5631450296672775,0.0072518170076700415
371bb6ef7f0973e9aa4a2a324d98d326efdc903730bea9725c480391acd6cac0894d08f6b628928b5950e6683110bb12d4d99e5df51f06791c5fe0a524232228,德阳,罗江分公司,2,1,-0.4552208788598159,0.11710461467363077,-0.5867455984250709,-0.2314739879808098,0.35527161044426114,-0.031060071465482106
c7c8f04a35e800c615301288bdbe6500993f87dc282025f9f358d94c0863e6c0041deab78d8e1870c312f04fd0897df52d61af0f23a495a81f831f7e8662ae50,成都,双流分公司,2,0,-0.3819416256987562,0.12929561151171448,-0.5383915323484697,-0.1614687665325109,0.3769227658159588,-0.03550448619288357
